Timestamp,Source IP,Destination IP,Protocol,Length
20:26:15,44.225.130.242,192.168.1.17,TCP,66
20:26:15,192.168.1.17,104.18.19.125,TCP,429
20:26:15,192.168.1.17,104.18.19.125,TCP,97
20:26:15,104.18.19.125,192.168.1.17,TCP,101
20:26:15,192.168.1.17,104.18.19.125,TCP,66
20:26:15,104.18.19.125,192.168.1.17,TCP,101
20:26:15,192.168.1.17,104.18.19.125,TCP,66
20:26:15,104.18.19.125,192.168.1.17,TCP,66
20:26:15,104.18.19.125,192.168.1.17,TCP,147
20:26:15,192.168.1.17,104.18.19.125,TCP,66
20:26:16,192.168.1.17,192.168.1.254,UDP,64
20:26:16,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:16,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:16,192.168.1.17,52.203.142.10,TCP,54
20:26:16,52.203.142.10,192.168.1.17,TCP,66
20:26:17,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:10b8:2b13:5a9:15a6,UDP,66
20:26:18,fe80:0:0:0:10b8:2b13:5a9:15a6,fe80:0:0:0:10bd:54c4:ad05:e93a,UDP,114
20:26:19,192.168.1.254,192.168.1.17,ARP,60
20:26:19,192.168.1.17,192.168.1.254,ARP,42
20:26:20,192.168.1.17,104.18.19.125,TCP,700
20:26:20,192.168.1.17,104.18.19.125,TCP,97
20:26:20,104.18.19.125,192.168.1.17,TCP,66
20:26:20,104.18.19.125,192.168.1.17,TCP,147
20:26:20,192.168.1.17,104.18.19.125,TCP,66
20:26:21,192.168.1.17,3.214.42.250,TCP,54
20:26:21,3.214.42.250,192.168.1.17,TCP,66
20:26:21,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:21,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:22,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:10b8:2b13:5a9:15a6,ICMPv6,86
20:26:22,fe80:0:0:0:10b8:2b13:5a9:15a6,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,78
20:26:23,fe80:0:0:0:10b8:2b13:5a9:15a6,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:23,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:10b8:2b13:5a9:15a6,ICMPv6,78
20:26:24,192.168.1.17,35.244.251.182,TCP,54
20:26:24,192.168.1.254,192.168.1.17,ARP,60
20:26:24,192.168.1.17,192.168.1.254,ARP,42
20:26:24,35.244.251.182,192.168.1.17,TCP,66
20:26:25,192.168.1.17,104.18.19.125,TCP,492
20:26:25,192.168.1.17,104.18.19.125,TCP,97
20:26:25,104.18.19.125,192.168.1.17,TCP,101
20:26:25,104.18.19.125,192.168.1.17,TCP,101
20:26:25,192.168.1.17,104.18.19.125,TCP,66
20:26:25,104.18.19.125,192.168.1.17,TCP,147
20:26:25,192.168.1.17,104.18.19.125,TCP,66
20:26:26,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:26,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:29,192.168.1.254,192.168.1.17,ARP,60
20:26:29,192.168.1.17,192.168.1.254,ARP,42
20:26:30,192.168.1.17,104.18.19.125,TCP,429
20:26:30,192.168.1.17,104.18.19.125,TCP,97
20:26:30,104.18.19.125,192.168.1.17,TCP,101
20:26:30,192.168.1.17,104.18.19.125,TCP,66
20:26:30,104.18.19.125,192.168.1.17,TCP,101
20:26:30,192.168.1.17,104.18.19.125,TCP,66
20:26:30,104.18.19.125,192.168.1.17,TCP,66
20:26:30,104.18.19.125,192.168.1.17,TCP,147
20:26:30,192.168.1.17,104.18.19.125,TCP,66
20:26:31,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:31,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:31,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,86
20:26:31,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,78
20:26:31,52.203.142.10,192.168.1.17,TCP,105
20:26:31,52.203.142.10,192.168.1.17,TCP,90
20:26:31,52.203.142.10,192.168.1.17,TCP,66
20:26:31,192.168.1.17,52.203.142.10,TCP,66
20:26:31,192.168.1.17,52.203.142.10,TCP,66
20:26:31,192.168.1.17,52.203.142.10,TCP,66
20:26:31,52.203.142.10,192.168.1.17,TCP,66
20:26:32,192.168.1.17,192.168.1.254,UDP,64
20:26:32,fe80:0:0:0:10b8:2b13:5a9:15a6,fe80:0:0:0:10bd:54c4:ad05:e93a,TCP,757
20:26:32,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:10b8:2b13:5a9:15a6,TCP,86
20:26:32,75.2.76.8,192.168.1.17,TCP,129
20:26:32,192.168.1.17,75.2.76.8,TCP,66
20:26:32,75.2.76.8,192.168.1.17,TCP,66
20:26:32,192.168.1.17,75.2.76.8,TCP,66
20:26:32,192.168.1.17,75.2.76.8,TCP,105
20:26:32,192.168.1.17,75.2.76.8,TCP,66
20:26:33,75.2.76.8,192.168.1.17,TCP,66
20:26:33,75.2.76.8,192.168.1.17,TCP,66
20:26:34,192.168.1.254,192.168.1.17,ARP,60
20:26:34,192.168.1.17,192.168.1.254,ARP,42
20:26:34,192.168.1.17,140.82.112.21,TCP,54
20:26:34,140.82.112.21,192.168.1.17,TCP,66
20:26:35,192.168.1.17,54.152.155.52,TCP,54
20:26:35,54.152.155.52,192.168.1.17,TCP,66
20:26:35,192.168.1.17,192.168.1.255,UDP,92
20:26:35,192.168.1.17,192.168.1.255,UDP,110
20:26:35,192.168.1.17,192.168.1.255,UDP,110
20:26:35,192.168.1.17,192.168.1.255,UDP,110
20:26:35,192.168.1.17,104.18.19.125,TCP,452
20:26:35,192.168.1.17,192.168.1.254,UDP,74
20:26:35,192.168.1.17,104.18.19.125,TCP,97
20:26:35,192.168.1.254,192.168.1.17,UDP,249
20:26:35,192.168.1.17,52.45.4.18,TCP,78
20:26:35,104.18.19.125,192.168.1.17,TCP,101
20:26:35,104.18.19.125,192.168.1.17,TCP,101
20:26:35,192.168.1.17,104.18.19.125,TCP,66
20:26:35,104.18.19.125,192.168.1.17,TCP,66
20:26:35,52.45.4.18,192.168.1.17,TCP,74
20:26:35,192.168.1.17,52.45.4.18,TCP,66
20:26:35,192.168.1.17,52.45.4.18,TCP,583
20:26:35,104.18.19.125,192.168.1.17,TCP,147
20:26:35,192.168.1.17,104.18.19.125,TCP,66
20:26:35,192.168.1.17,192.168.1.254,UDP,69
20:26:35,192.168.1.17,192.168.1.254,UDP,96
20:26:35,192.168.1.17,192.168.1.254,UDP,73
20:26:35,192.168.1.17,192.168.1.254,UDP,95
20:26:35,192.168.1.17,192.168.1.254,UDP,103
20:26:36,192.168.1.254,192.168.1.17,UDP,85
20:26:36,192.168.1.254,192.168.1.17,UDP,208
20:26:36,192.168.1.254,192.168.1.17,UDP,209
20:26:36,192.168.1.254,192.168.1.17,UDP,246
20:26:36,192.168.1.254,192.168.1.17,UDP,291
20:26:36,192.168.1.17,192.168.1.254,UDP,85
20:26:36,192.168.1.254,192.168.1.17,UDP,181
20:26:36,52.45.4.18,192.168.1.17,TCP,66
20:26:36,52.45.4.18,192.168.1.17,TCP,1466
20:26:36,52.45.4.18,192.168.1.17,TCP,1466
20:26:36,52.45.4.18,192.168.1.17,TCP,1466
20:26:36,52.45.4.18,192.168.1.17,TCP,249
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,192.168.1.17,52.45.4.18,TCP,1466
20:26:36,192.168.1.17,52.45.4.18,TCP,106
20:26:36,52.45.4.18,192.168.1.17,TCP,66
20:26:36,52.45.4.18,192.168.1.17,TCP,245
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,52.45.4.18,192.168.1.17,TCP,461
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,52.45.4.18,192.168.1.17,TCP,90
20:26:36,52.45.4.18,192.168.1.17,TCP,66
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,192.168.1.17,52.45.4.18,TCP,90
20:26:36,192.168.1.17,52.45.4.18,TCP,66
20:26:36,192.168.1.17,52.45.4.18,TCP,54
20:26:36,192.168.1.17,192.168.1.254,UDP,74
20:26:36,192.168.1.17,192.168.1.254,UDP,74
20:26:36,192.168.1.17,3.214.42.250,TCP,181
20:26:36,192.168.1.17,3.214.42.250,TCP,105
20:26:36,192.168.1.254,192.168.1.17,UDP,249
20:26:36,3.214.42.250,192.168.1.17,TCP,66
20:26:36,3.214.42.250,192.168.1.17,TCP,66
20:26:36,3.214.42.250,192.168.1.17,TCP,105
20:26:36,192.168.1.17,3.214.42.250,TCP,66
20:26:36,52.45.4.18,192.168.1.17,TCP,60
20:26:36,52.45.4.18,192.168.1.17,TCP,60
20:26:36,3.214.42.250,192.168.1.17,TCP,453
20:26:36,3.214.42.250,192.168.1.17,TCP,97
20:26:36,192.168.1.17,3.214.42.250,TCP,66
20:26:36,192.168.1.17,3.214.42.250,TCP,101
20:26:36,3.214.42.250,192.168.1.17,TCP,66
20:26:36,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:36,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:39,192.168.1.254,192.168.1.17,ARP,60
20:26:39,192.168.1.17,192.168.1.254,ARP,42
20:26:40,192.168.1.17,104.18.19.125,TCP,806
20:26:40,192.168.1.17,104.18.19.125,TCP,97
20:26:40,104.18.19.125,192.168.1.17,TCP,101
20:26:40,104.18.19.125,192.168.1.17,TCP,101
20:26:40,192.168.1.17,104.18.19.125,TCP,66
20:26:40,104.18.19.125,192.168.1.17,TCP,147
20:26:40,192.168.1.17,104.18.19.125,TCP,66
20:26:41,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:41,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:42,0.0.0.0,224.0.0.1,IGMP,50
20:26:42,0:0:0:0:0:0:0:0,ff02:0:0:0:0:0:0:1,ICMPv6,86
20:26:43,192.168.1.3,224.0.0.22,IGMP,54
20:26:43,192.168.1.254,192.168.1.17,ARP,60
20:26:43,192.168.1.17,192.168.1.254,ARP,42
20:26:44,192.168.1.3,224.0.0.22,IGMP,54
20:26:44,192.168.1.2,224.0.0.22,IGMP,62
20:26:44,192.168.1.17,192.168.1.254,UDP,77
20:26:44,192.168.1.17,192.168.1.254,UDP,77
20:26:44,192.168.1.17,44.225.130.242,TCP,177
20:26:44,192.168.1.17,44.225.130.242,TCP,105
20:26:44,192.168.1.17,44.225.130.242,TCP,526
20:26:44,192.168.1.254,192.168.1.17,UDP,233
20:26:44,44.225.130.242,192.168.1.17,TCP,66
20:26:44,44.225.130.242,192.168.1.17,TCP,66
20:26:44,44.225.130.242,192.168.1.17,TCP,105
20:26:44,192.168.1.17,44.225.130.242,TCP,66
20:26:45,44.225.130.242,192.168.1.17,TCP,723
20:26:45,192.168.1.17,44.225.130.242,TCP,66
20:26:45,44.225.130.242,192.168.1.17,TCP,97
20:26:45,192.168.1.17,44.225.130.242,TCP,66
20:26:45,192.168.1.17,44.225.130.242,TCP,101
20:26:45,44.225.130.242,192.168.1.17,TCP,66
20:26:45,192.168.1.2,224.0.0.251,UDP,102
20:26:45,192.168.1.2,224.0.0.251,UDP,112
20:26:45,192.168.1.17,104.18.19.125,TCP,429
20:26:45,192.168.1.17,104.18.19.125,TCP,97
20:26:45,104.18.19.125,192.168.1.17,TCP,66
20:26:45,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:45,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:45,104.18.19.125,192.168.1.17,TCP,147
20:26:45,192.168.1.17,104.18.19.125,TCP,66
20:26:46,192.168.1.2,224.0.0.251,UDP,126
20:26:46,192.168.1.2,224.0.0.251,UDP,193
20:26:46,192.168.1.2,224.0.0.251,UDP,82
20:26:46,192.168.1.2,224.0.0.251,UDP,406
20:26:47,192.168.1.16,224.0.0.251,UDP,97
20:26:48,192.168.1.16,224.0.0.251,UDP,97
20:26:49,192.168.1.254,192.168.1.17,ARP,60
20:26:49,192.168.1.17,192.168.1.254,ARP,42
20:26:50,192.168.1.17,104.18.19.125,TCP,428
20:26:50,192.168.1.17,104.18.19.125,TCP,97
20:26:50,104.18.19.125,192.168.1.17,TCP,101
20:26:50,104.18.19.125,192.168.1.17,TCP,101
20:26:50,192.168.1.17,104.18.19.125,TCP,66
20:26:50,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:50,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:51,104.18.19.125,192.168.1.17,TCP,147
20:26:51,192.168.1.17,104.18.19.125,TCP,66
20:26:51,192.168.1.16,224.0.0.251,UDP,97
20:26:51,192.168.1.3,224.0.0.22,IGMP,54
20:26:52,192.168.1.17,44.232.108.69,TCP,54
20:26:52,44.232.108.69,192.168.1.17,TCP,66
20:26:54,192.168.1.254,192.168.1.17,ARP,60
20:26:54,192.168.1.17,192.168.1.254,ARP,42
20:26:54,104.18.18.125,192.168.1.17,TCP,105
20:26:54,104.18.18.125,192.168.1.17,TCP,66
20:26:54,104.18.18.125,192.168.1.17,TCP,66
20:26:54,192.168.1.17,104.18.18.125,TCP,66
20:26:54,192.168.1.17,104.18.18.125,TCP,66
20:26:54,192.168.1.17,104.18.18.125,TCP,66
20:26:54,192.168.1.17,104.18.18.125,TCP,105
20:26:54,192.168.1.17,104.18.18.125,TCP,90
20:26:54,192.168.1.17,104.18.18.125,TCP,66
20:26:54,104.18.18.125,192.168.1.17,TCP,60
20:26:54,104.18.18.125,192.168.1.17,TCP,60
20:26:54,104.18.18.125,192.168.1.17,TCP,60
20:26:55,192.168.1.17,104.18.19.125,TCP,428
20:26:55,192.168.1.17,104.18.19.125,TCP,97
20:26:55,104.18.19.125,192.168.1.17,TCP,101
20:26:55,104.18.19.125,192.168.1.17,TCP,101
20:26:55,104.18.19.125,192.168.1.17,TCP,66
20:26:55,104.18.19.125,192.168.1.17,TCP,101
20:26:55,104.18.19.125,192.168.1.17,TCP,147
20:26:55,192.168.1.17,104.18.19.125,TCP,66
20:26:55,192.168.1.17,104.18.19.125,TCP,78
20:26:55,192.168.1.17,104.18.19.125,TCP,66
20:26:55,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,86
20:26:56,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:26:56,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:26:56,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,78
20:26:59,192.168.1.254,192.168.1.17,ARP,60
20:26:59,192.168.1.17,192.168.1.254,ARP,42
20:27:00,192.168.1.17,224.0.0.251,UDP,264
20:27:00,fe80:0:0:0:10bd:54c4:ad05:e93a,ff02:0:0:0:0:0:0:fb,UDP,284
20:27:00,192.168.1.16,224.0.0.251,UDP,81
20:27:00,192.168.1.17,104.18.19.125,TCP,428
20:27:00,192.168.1.17,104.18.19.125,TCP,97
20:27:00,104.18.19.125,192.168.1.17,TCP,66
20:27:00,104.18.19.125,192.168.1.17,TCP,66
20:27:00,104.18.19.125,192.168.1.17,TCP,147
20:27:00,192.168.1.17,104.18.19.125,TCP,66
20:27:01,192.168.1.17,224.0.0.251,UDP,264
20:27:01,fe80:0:0:0:10bd:54c4:ad05:e93a,ff02:0:0:0:0:0:0:fb,UDP,284
20:27:01,fe80:0:0:0:0:0:0:1,fe80:0:0:0:10bd:54c4:ad05:e93a,ICMPv6,86
20:27:01,fe80:0:0:0:10bd:54c4:ad05:e93a,fe80:0:0:0:0:0:0:1,ICMPv6,78
20:27:03,192.168.1.17,224.0.0.251,UDP,264
20:27:03,fe80:0:0:0:10bd:54c4:ad05:e93a,ff02:0:0:0:0:0:0:fb,UDP,284
20:27:04,192.168.1.17,192.168.1.254,UDP,64
